staffid,position,adminYorN,phonenumber,email,orderID,fulladdress
"16541127 3757","  Legal Department","  N","  1-632-958-4262","  diam.luctus.lobortis@anteVivamus.com","  575213-8296","  P.O. Box 225"
"16321124 9796","  Custoer Relations","  Y","  1-231-699-1251","  a.auctor.non@sit.ca","  854674-4270","  136-146 Sed St."
"16011108 2632","  Sales and Marketing","  N","  1-790-785-4962","  massa.Mauris.vestibulum@ascelerisque.ca","  523140-7023","  8720 Bibendum Avenue"
"16080617 4850","  Research and Development","  N","  1-127-706-8341","  luctus.Curabitur@Vivamus.com","  496363-0068","  7669 Lectus Rd."
"16730922 2078","  Asset Managemment","  N","  1-256-435-9508","  libero@tellusNunc.co.uk","  768605-9986","  Ap #826-1087 Duis Rd."
"16550317 9367","  Research and Development","  Y","  1-776-895-1272","  ipsum.sodales@estmauris.co.uk","  299046-2968","  6377 Lacus. Av."
"16620720 0590","  Custoer Relations","  N","  1-397-712-6524","  Quisque.tincidunt@risus.edu","  829397-4161","  Ap #168-3751 Urna Ave"
"16141116 2025","  Customer Service","  Y","  1-527-967-0574","  libero.at.auctor@nec.net","  779044-7135","  P.O. Box 457"
"16170921 9495","  Quality Assurance","  N","  1-394-600-2576","  nec@pedePraesenteu.ca","  974736-1740","  4357 Convallis Rd."
"16930825 7352","  Custoer Relations","  N","  1-637-840-0326","  velit@habitant.co.uk","  508686-9731","  P.O. Box 420"
"16780606 3488","  Sales and Marketing","  N","  1-623-819-6557","  vel.vulputate.eu@ipsumportaelit.edu","  857832-6350","  Ap #611-4617 Facilisis St."
"16430917 7931","  Advertising","  Y","  1-808-529-3257","  neque.tellus.imperdiet@facilisiSedneque.edu","  363603-1571","  P.O. Box 487"
"16740516 6641","  Quality Assurance","  Y","  1-139-541-0825","  tortor.nibh@sagittis.ca","  854708-8735","  P.O. Box 945"
"16921126 6763","  Human Resources","  Y","  1-867-399-9483","  dictum@velconvallis.org","  629570-4420","  164-2966 Ridiculus St."
"16901112 9120","  Payroll","  N","  1-800-255-4596","  Phasellus@Morbiaccumsanlaoreet.edu","  163304-1858","  Ap #806-8931 Accumsan St."
"16000112 0732","  Finances","  Y","  1-704-848-5880","  sapien@Maecenasmalesuada.net","  394069-6812","  Ap #269-9817 Vitae Av."
"16840820 7044","  Customer Service","  Y","  1-826-669-4525","  mollis@velconvallisin.org","  979455-9709","  P.O. Box 153"
"16460116 1088","  Customer Service","  N","  1-412-949-3037","  Nullam.suscipit@risusDuis.edu","  187239-0289","  897-237 Integer Rd."
"16000305 5019","  Payroll","  Y","  1-210-487-9497","  lorem@nonummyacfeugiat.com","  797519-1722","  P.O. Box 142"
"16271111 8824","  Public Relations","  N","  1-305-916-1582","  Integer@nullamagnamalesuada.com","  128294-6829","  Ap #721-7840 At Av."
"16851220 6825","  Public Relations","  Y","  1-999-221-8773","  dapibus.gravida@sitamet.edu","  016557-1324","  510-6545 Est"
"16931207 6210","  Custoer Relations","  Y","  1-269-932-7485","  tristique.neque@mauris.co.uk","  913054-0561","  P.O. Box 923"
"16820915 6978","  Quality Assurance","  Y","  1-895-886-5724","  semper.et.lacinia@eleifend.ca","  493323-4876","  322-7300 In Av."
"16830521 1180","  Customer Service","  N","  1-949-117-7454","  aliquet.magna.a@eutellus.com","  979071-0108","  897-5727 Facilisis Av."
"16620707 6479","  Asset Managemment","  Y","  1-567-846-3871","  fermentum.fermentum@Duisvolutpat.edu","  494171-0875","  Ap #155-890 Elit"
"16191230 9208","  Human Resources","  Y","  1-960-218-6529","  molestie.orci.tincidunt@vellectus.net","  173054-0653","  891-6870 Nulla Rd."
"16470117 8933","  Accounting","  Y","  1-861-568-7315","  vel.quam@ipsumDonec.org","  085706-6344","  Ap #712-1094 Magna. St."
"16270524 5468","  Public Relations","  Y","  1-512-443-8607","  est.mauris@Integervulputaterisus.com","  244855-3004","  Ap #234-5242 Quam St."
"16820524 2822","  Research and Development","  Y","  1-792-968-0491","  augue.scelerisque.mollis@imperdietdictummagna.ca","  948855-9080","  P.O. Box 379"
"16560915 6103","  Research and Development","  N","  1-653-998-2777","  augue@fames.ca","  644018-5491","  477-8577 In St."
"16590422 9894","  Tech Support","  N","  1-708-431-8408","  lobortis.mauris@facilisiSedneque.ca","  294283-1500","  740-2795 Vitae Rd."
"16410911 4449","  Custoer Relations","  N","  1-138-417-9541","  ullamcorper.viverra@vitaedolorDonec.net","  702635-1077","  857-7455 Orci. Ave"
"16050505 9451","  Custoer Relations","  N","  1-830-463-3327","  quis.massa.Mauris@tincidunt.org","  129825-4549","  Ap #944-8650 Mauris Ave"
"16390305 8158","  Asset Managemment","  Y","  1-274-888-7033","  mattis.semper.dui@tempuslorem.com","  713460-4888","  Ap #481-1101 Tristique Av."
"16750527 7009","  Payroll","  Y","  1-626-287-5882","  id.enim.Curabitur@lacus.co.uk","  133164-6719","  6395 Urna"
"16671028 0378","  Payroll","  Y","  1-875-513-7618","  non.egestas@Praesenteunulla.edu","  139925-6005","  Ap #915-6681 Enim. St."
"16060822 1248","  Customer Service","  Y","  1-865-875-7681","  feugiat.Lorem.ipsum@Vivamus.com","  426966-8036","  7550 Justo Av."
"16580327 2854","  Public Relations","  N","  1-456-275-2554","  dignissim@Proin.com","  643571-5823","  612-8221 Magna. Avenue"
"16930812 0329","  Quality Assurance","  N","  1-921-704-0618","  mauris.erat@lectusCum.co.uk","  188950-7016","  1298 Non St."
"16120218 4808","  Research and Development","  N","  1-276-995-9087","  magna.Suspendisse.tristique@Utsagittis.ca","  759956-5426","  278-8006 Dolor Street"
"16530726 1320","  Accounting","  Y","  1-453-493-1776","  lorem.ipsum.sodales@mollis.com","  256049-4441","  397-2265 Luctus Ave"
"16680208 6774","  Payroll","  Y","  1-568-677-1271","  sem.vitae@cursuspurusNullam.co.uk","  482539-1206","  P.O. Box 928"
"16680710 7211","  Legal Department","  N","  1-651-722-9441","  elementum@orciquislectus.net","  488528-7807","  P.O. Box 369"
"16501202 5242","  Custoer Relations","  N","  1-793-446-0964","  aliquet.vel@orciUt.edu","  558903-8214","  926-9724 Ut Street"
"16790209 8578","  Accounting","  N","  1-837-252-1903","  magna.sed.dui@eunullaat.edu","  568884-9750","  Ap #397-5564 Pretium St."
"16201227 0639","  Payroll","  Y","  1-172-258-1761","  In@tellusSuspendissesed.co.uk","  529296-8814","  P.O. Box 265"
"16840411 8351","  Finances","  Y","  1-221-366-5594","  lobortis@Integer.ca","  234148-8373","  6156 Odio. Road"
"16290504 8753","  Advertising","  N","  1-893-862-1960","  Quisque.porttitor.eros@nullaat.ca","  525579-3852","  269-134 Pede Rd."
"16711006 6409","  Research and Development","  Y","  1-393-932-2657","  dignissim@Quisqueimperdieterat.co.uk","  844744-1778","  P.O. Box 741"
"16690308 3506","  Human Resources","  Y","  1-221-823-0676","  lacus.Nulla@Nunc.ca","  363375-1213","  8017 Amet Ave"
"16851107 1527","  Public Relations","  N","  1-942-268-4042","  in.consectetuer.ipsum@quisdiam.ca","  383416-9009","  717-790 Vitae Street"
"16130612 2308","  Advertising","  Y","  1-752-589-3843","  enim.Curabitur.massa@ligula.net","  248638-3082","  Ap #441-2872 Imperdiet"
"16470508 1570","  Payroll","  Y","  1-279-132-7636","  mus@tempus.com","  416283-9536","  173-5753 Lobortis"
"16160513 8914","  Quality Assurance","  N","  1-194-125-2113","  tincidunt.adipiscing@SeddictumProin.ca","  524798-7653","  255-5200 Cum Street"
"16710810 7405","  Public Relations","  Y","  1-361-700-5940","  Fusce@iaculisodio.net","  052988-6038","  4601 Urna. Av."
"16940713 5921","  Public Relations","  Y","  1-327-157-5973","  nonummy.ultricies.ornare@nibhPhasellus.com","  525639-0278","  P.O. Box 894"
"16160802 3915","  Quality Assurance","  N","  1-637-308-8615","  tortor.Integer@vulputate.ca","  453637-6116","  P.O. Box 992"
"16001017 0702","  Finances","  Y","  1-436-996-8080","  odio.Aliquam@malesuadaiderat.net","  044194-6993","  885-1758 Faucibus. St."
"16001213 0753","  Tech Support","  N","  1-786-541-3437","  velit@Cras.com","  372953-3541","  Ap #427-6442 Metus. Road"
"16980428 8950","  Asset Managemment","  N","  1-944-348-1799","  diam@velarcu.ca","  544969-2275","  9210 Erat"
"16251201 9759","  Quality Assurance","  Y","  1-326-102-5964","  vehicula.Pellentesque.tincidunt@anteblanditviverra.org","  576934-3822","  203-8070 Posuere"
"16530323 7894","  Accounting","  N","  1-428-374-5918","  luctus.ipsum.leo@urnaNullam.com","  705192-6348","  3140 Aliquam"
"16150605 8963","  Tech Support","  N","  1-603-708-7609","  magnis.dis@iaculisenimsit.ca","  328454-5435","  294-4741 Ac Rd."
"16300823 0751","  Tech Support","  N","  1-558-258-7095","  Phasellus@tincidunt.co.uk","  355060-4874","  P.O. Box 971"
"16290220 1488","  Customer Service","  N","  1-227-612-0612","  tempus.lorem.fringilla@Donecdignissim.edu","  776841-3374","  P.O. Box 913"
"16090503 8956","  Research and Development","  Y","  1-154-628-4690","  dignissim.tempor@Donecporttitortellus.edu","  309517-3047","  826-2455 Pede"
"16711021 3035","  Tech Support","  N","  1-985-139-3477","  lectus.pede.ultrices@ipsumacmi.org","  445348-0149","  655-8394 Quis Ave"
"16341126 4405","  Human Resources","  Y","  1-803-963-5279","  quam@nulla.edu","  317908-9622","  117-7921 Lacus Street"
"16690825 7220","  Advertising","  N","  1-177-642-7289","  fringilla.euismod.enim@Nam.ca","  653261-4234","  7009 Mauris. Road"
"16230926 1507","  Research and Development","  Y","  1-202-345-2638","  est.Nunc@dictumeu.com","  787832-8934","  Ap #407-6391 Vel Av."
"16601022 0868","  Payroll","  Y","  1-958-150-7581","  parturient@nunc.co.uk","  272195-9159","  634-6834 Pellentesque Avenue"
"16040307 7811","  Quality Assurance","  Y","  1-697-277-5935","  scelerisque.neque.sed@eleifendvitae.ca","  714539-2358","  6415 Cursus St."
"16500523 1948","  Custoer Relations","  N","  1-262-200-5990","  a.felis.ullamcorper@ornare.co.uk","  586072-0704","  248-9501 Ipsum Ave"
"16580316 9837","  Quality Assurance","  N","  1-186-585-8339","  Aenean.massa@Crasdolordolor.org","  244876-5764","  104-5909 Neque. Rd."
"16840429 6884","  Legal Department","  N","  1-889-194-6070","  Nullam.velit.dui@posuere.net","  003688-2496","  Ap #861-3573 Curabitur Av."
"16470727 2078","  Asset Managemment","  Y","  1-147-686-6129","  risus.Nunc@tristique.ca","  708720-0783","  3423 Morbi Avenue"
"16260822 0170","  Tech Support","  Y","  1-639-333-2648","  magnis.dis@gravidaAliquamtincidunt.co.uk","  645213-3348","  6086 Ullamcorper Road"
"16890708 7301","  Payroll","  Y","  1-330-775-1982","  sociis.natoque@natoquepenatibuset.com","  465782-6832","  P.O. Box 111"
