studentid,email,fulladdress,phonenumber,orderid
69154873,nec.orci@Aliquameratvolutpat.net,"P.O. Box 165, 3779 Ut Rd.",16281214 0669,8415777
34437714,lacus.Mauris@Nullafacilisi.edu,Ap #122-8627 Dolor. Road,16280416 2895,4955095
76512595,Proin.nisl@ad.org,Ap #764-472 Lobortis Street,16640417 1016,3842097
54427010,placerat.orci.lacus@gravida.co.uk,453-7592 Aliquam Rd.,16141006 5237,11260516
72367141,vulputate.dui.nec@vel.ca,"2208 Elit, Avenue",16730804 8094,8158344
64555346,purus.mauris.a@nonquam.net,761-337 Turpis Road,16751230 2758,10470251
5432021,sit.amet.luctus@facilisiseget.org,Ap #523-6910 Magna. Ave,16650307 0051,10121889
73664329,dignissim.Maecenas.ornare@variusorciin.org,"P.O. Box 334, 5824 Consectetuer St.",16401011 8067,5383961
10730910,lobortis.quam.a@Cumsociisnatoque.ca,553-6481 Molestie Street,16340212 3198,7531708
45066992,nisi.sem.semper@SuspendisseeleifendCras.org,171-6546 Luctus St.,16760104 4774,11124647
41909072,vestibulum.neque.sed@vitaeodio.edu,497-846 Fusce Ave,16830920 1641,8034361
24497954,erat.semper@acmattis.ca,Ap #705-5732 Gravida. Av.,16930114 5455,1769193
31493645,auctor.ullamcorper.nisl@euturpis.org,8044 Felis Rd.,16560617 6542,2778324
30908720,ac@mauriserateget.edu,929-1718 Proin Rd.,16960302 9399,11268313
16931407,mi@Aliquamultrices.org,902-9593 Egestas St.,16180907 4840,5609441
35622887,rutrum@eleifend.com,Ap #924-962 Elit. Av.,16811101 6161,9194157
39644201,lorem.auctor.quis@fringilla.net,688-7331 Aliquam Ave,16870527 0414,6830791
10842592,a.nunc.In@tinciduntduiaugue.net,231-3931 Vel Ave,16380811 3199,9543572
34204623,Nam@aliquet.edu,874-8846 A Ave,16120729 3620,3787013
8062071,Curae.Phasellus.ornare@Morbiaccumsan.co.uk,860-9015 Aliquam Avenue,16000522 1775,2888334
75205201,malesuada@velit.net,719-8857 Morbi Rd.,16821124 6981,7805979
71527954,pharetra@dictumplacerataugue.org,8619 Enim. Rd.,16690403 9523,1547986
21150658,Suspendisse.eleifend.Cras@In.ca,Ap #177-4129 Tortor St.,16390219 2529,3519363
1071571,nisi.nibh@pellentesquetellus.org,Ap #298-7321 Aliquam Road,16410414 4227,10197979
40664325,rhoncus.Nullam@dictummagna.org,"P.O. Box 235, 8184 Velit Av.",16530807 6628,7803470
75990299,ridiculus.mus@necleo.com,Ap #973-4566 Blandit. Ave,16780624 6000,3777257
58539399,nec.tellus@temporarcuVestibulum.co.uk,9140 Neque Av.,16140803 0789,8768893
52849352,viverra@at.ca,"P.O. Box 218, 263 Eu Street",16840105 9996,10897519
62261683,imperdiet.non.vestibulum@Integervulputate.co.uk,"P.O. Box 599, 3557 Ante Road",16800605 9714,2285887
79285540,inceptos@elitpretiumet.co.uk,Ap #841-9092 Phasellus Avenue,16250302 6631,10489433
26741213,Fusce@Maurismolestiepharetra.org,373-9754 Feugiat. Rd.,16250603 8385,8261470
71498232,a.aliquet.vel@morbitristiquesenectus.org,"P.O. Box 209, 3234 Risus. Ave",16761016 9158,7019831
37914291,mattis.Integer@arcu.ca,"Ap #257-509 Fringilla, St.",16900919 9689,3584925
19798697,Aliquam@ultriciesadipiscingenim.ca,"P.O. Box 382, 6417 Risus. Street",16150413 4709,6180662
33300987,tempor.lorem@utmi.net,Ap #953-751 Fusce Rd.,16660311 7679,2003065
32945271,lacus@felisNulla.co.uk,6554 Tellus Road,16600606 9022,11483914
51410195,nec@augue.net,"P.O. Box 483, 7075 Amet, Ave",16890826 6201,6838827
71642522,blandit.mattis@amifringilla.net,"5033 Montes, Ave",16610428 1842,4079312
62335929,Aenean.euismod@orciUt.edu,"P.O. Box 296, 9583 Cras Rd.",16470520 7670,2513041
39756226,adipiscing.enim@sed.ca,2850 Ipsum Street,16481120 4033,1066911
25643915,Nunc.sollicitudin.commodo@facilisis.ca,"2669 Tincidunt, Avenue",16481018 6033,3029727
31588595,pharetra@sitamet.org,"P.O. Box 646, 5434 Vitae Rd.",16500618 3239,1506798
37652032,aliquam.eu.accumsan@Aeneanegestas.com,Ap #172-2275 Egestas Avenue,16810416 4325,6390102
39085181,eget.ipsum@ligulaAeneangravida.org,Ap #164-6152 Egestas. St.,16520715 8717,7049161
18952963,lacus.Etiam.bibendum@Sednunc.edu,"4270 Erat, Street",16480824 5841,5212023
25005205,aliquet.lobortis@duinecurna.net,"P.O. Box 736, 2136 Ante. Ave",16470909 1880,2317992
78488465,ad@euturpisNulla.co.uk,670-8177 Suspendisse Rd.,16861214 4371,3678113
28472052,magna.tellus@Donec.org,4346 Ligula. Av.,16800530 0853,3438209
65153419,arcu.Vivamus.sit@duiin.edu,"Ap #569-3624 Adipiscing, Av.",16361111 2008,10098254
58457744,non.magna.Nam@vulputate.co.uk,"634-7549 Vel, Ave",16660815 6920,11371965
36218983,Nunc.ullamcorper@posuereatvelit.com,9311 Nam Street,16730424 4820,7759190
23285863,justo.sit@odiovel.net,8683 Tincidunt St.,16540307 8057,9021810
23017749,semper.egestas@ligulaAeneangravida.com,8604 Dis St.,16770403 2460,11307345
10084898,sapien.imperdiet@commodoipsumSuspendisse.net,"P.O. Box 562, 6929 Quisque Ave",16770117 8647,8738865
75759290,et.eros.Proin@sitametorci.org,196-1464 Nulla Rd.,16960506 0095,11719353
31744676,tellus.sem.mollis@Duisvolutpatnunc.org,"Ap #972-7406 Suscipit, Ave",16511124 9354,9399083
14232610,Donec.sollicitudin@Aliquamgravidamauris.com,Ap #767-6336 Erat St.,16070115 5921,2751166
13724450,cursus.et@conubianostra.net,8098 Facilisis Street,16260913 2184,1908353
5186580,porttitor.vulputate.posuere@luctusCurabitur.org,286-2922 Aliquet Rd.,16980628 5103,11182713
67650449,mollis@lobortisauguescelerisque.co.uk,"P.O. Box 109, 6873 Mattis. Ave",16860206 6154,7256191
65734944,ultrices.mauris.ipsum@duiFuscediam.co.uk,702-4912 Rhoncus. Street,16160425 8580,7817513
6806513,porttitor.interdum@antebibendum.edu,7292 Nec Rd.,16920110 0824,11315002
71138413,tempus.scelerisque.lorem@pede.org,Ap #951-4905 Purus. St.,16500907 2967,11305798
43473157,dictum.magna.Ut@Suspendisseacmetus.co.uk,8622 Quam Rd.,16660107 8915,6550403
42897090,imperdiet.non@inmagna.net,207-4421 Et Rd.,16670525 0279,6092859
49595628,risus.at.fringilla@enim.org,256-625 Purus St.,16520120 0747,1519308
69581974,non.feugiat@lobortismaurisSuspendisse.com,883-8767 Sit Ave,16491122 5516,4333523
